Test for backup
LJMD version 1.0
Startup time:      0.005s
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
    9100          50.26204207          16.03091122        -153.47964892        -137.44873770
    9200          53.25991488          16.98707278        -154.43531571        -137.44824293
    9300          54.29402911          17.31690008        -154.65977400        -137.34287392
    9400          52.85526006          16.85800947        -154.18869491        -137.33068544
    9500          63.25393398          20.17463195        -157.61560632        -137.44097437
    9600          52.24936271          16.66476052        -154.06627741        -137.40151689
    9700          53.52372975          17.07121566        -154.44436009        -137.37314443
    9800          57.27086335          18.26635146        -155.52339011        -137.25703865
    9900          49.94725073          15.93050956        -153.22153490        -137.29102534
   10000          57.68505407          18.39845621        -155.70555811        -137.30710189
Simulation Done. Run time:      2.669s

=============================================
Test for serial
LJMD version 1.0
Startup time:      0.001s
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -160.47356230        -137.30476543
     100          65.43431861          20.87005837        -158.25588624        -137.38582786
     200          59.79434845          19.07120864        -156.46899372        -137.39778508
     300          57.64751018          18.38648171        -155.77651340        -137.39003169
     400          60.30704700          19.23473214        -156.53118702        -137.29645488
     500          61.72477319          19.68691119        -157.08986168        -137.40295048
     600          57.14135854          18.22504633        -155.64980366        -137.42475733
     700          59.36438007          18.93407166        -156.26834060        -137.33426894
     800          59.78756472          19.06904500        -156.35643069        -137.28738569
     900          54.36763969          17.34037793        -154.78813145        -137.44775352
    1000          58.30225224          18.59530952        -155.92586862        -137.33055910
    1100          60.04148076          19.15003067        -156.42623752        -137.27620685
    1200          59.34164636          18.92682082        -156.26509343        -137.33827261
    1300          62.59515100          19.96451530        -157.19415532        -137.22964001
    1400          56.93824540          18.16026407        -155.47553037        -137.31526630
    1500          58.77294296          18.74543476        -156.09200070        -137.34656595
    1600          55.84093594          17.81028087        -155.21486498        -137.40458412
    1700          56.78511187          18.11142264        -155.45850515        -137.34708251
    1800          52.01092032          16.58871012        -153.92656659        -137.33785648
    1900          60.47822481          19.28932874        -156.66450047        -137.37517174
    2000          56.74958175          18.10009043        -155.45906837        -137.35897794
    2100          60.58789056          19.32430626        -156.69922388        -137.37491762
    2200          58.14484493          18.54510498        -155.88027139        -137.33516641
    2300          59.12621460          18.85810957        -156.24802676        -137.38991719
    2400          59.95210840          19.12152565        -156.51129711        -137.38977145
    2500          51.67417103          16.48130505        -153.74959916        -137.26829410
    2600          53.48475305          17.05878417        -154.46825599        -137.40947182
    2700          54.81842375          17.48415400        -154.79576097        -137.31160697
    2800          62.75581228          20.01575768        -157.35522181        -137.33946413
    2900          56.75582641          18.10208214        -155.44548451        -137.34340237
    3000          65.64301551          20.93662156        -158.23752268        -137.30090112
    3100          58.83219256          18.76433222        -156.09979283        -137.33546061
    3200          53.77955828          17.15281131        -154.46483256        -137.31202125
    3300          51.80564285          16.52323755        -153.89834517        -137.37510762
    3400          55.53092406          17.71140361        -155.04363276        -137.33222915
    3500          53.39662449          17.03067586        -154.38618418        -137.35550833
    3600          55.24905271          17.62150168        -155.04333965        -137.42183798
    3700          60.24871558          19.21612753        -156.60022882        -137.38410129
    3800          54.24516150          17.30131391        -154.62516769        -137.32385377
    3900          55.24384093          17.61983940        -154.94727100        -137.32743160
    4000          52.58371731          16.77140181        -154.13831813        -137.36691631
    4100          53.57952900          17.08901264        -154.38495796        -137.29594532
    4200          58.83219788          18.76433392        -156.13859460        -137.37426069
    4300          57.62989407          18.38086312        -155.74782429        -137.36696117
    4400          56.67207378          18.07536952        -155.45026610        -137.37489658
    4500          58.64169253          18.70357287        -156.09832745        -137.39475458
    4600          58.18392485          18.55756939        -155.95508197        -137.39751258
    4700          56.53500627          18.03165229        -155.44551551        -137.41386322
    4800          56.82626208          18.12454736        -155.60499375        -137.48044639
    4900          61.36415287          19.57189254        -156.96217598        -137.39028343
    5000          62.93872385          20.07409672        -157.46859702        -137.39450030
    5100          55.40485047          17.67119286        -155.05764928        -137.38645642
    5200          58.77471065          18.74599856        -156.15679873        -137.41080017
    5300          60.80528171          19.39364245        -156.76475364        -137.37111120
    5400          53.23435221          16.97891965        -154.33686554        -137.35794589
    5500          58.72619701          18.73052529        -156.01854491        -137.28801962
    5600          59.46258595          18.96539410        -156.32772274        -137.36232864
    5700          52.94768696          16.88748872        -154.29421018        -137.40672146
    5800          61.39946041          19.58315377        -156.90740192        -137.32424815
    5900          56.89901133          18.14775049        -155.47922778        -137.33147728
    6000          56.67353359          18.07583512        -155.45748644        -137.38165132
    6100          60.34779867          19.24772975        -156.67711595        -137.42938620
    6200          56.04023581          17.87384690        -155.29492074        -137.42107385
    6300          54.90278254          17.51105996        -154.93644991        -137.42538995
    6400          59.64654684          19.02406781        -156.59030214        -137.56623432
    6500          57.57557019          18.36353669        -155.83229863        -137.46876194
    6600          52.21133228          16.65263085        -154.05478536        -137.40215451
    6700          55.36140108          17.65733482        -155.01196127        -137.35462645
    6800          56.79686261          18.11517050        -155.47370987        -137.35853937
    6900          52.32308620          16.68827439        -154.10621314        -137.41793875
    7000          50.50589276          16.10868658        -153.42084516        -137.31215858
    7100          57.42231986          18.31465801        -155.60712632        -137.29246831
    7200          53.45023998          17.04777634        -154.46470067        -137.41692434
    7300          52.65351279          16.79366285        -154.17968689        -137.38602404
    7400          50.72929336          16.17993946        -153.47522749        -137.29528803
    7500          52.62395015          16.78423394        -154.09218330        -137.30794936
    7600          57.74970404          18.41907610        -155.80523988        -137.38616378
    7700          54.68197569          17.44063435        -154.84130108        -137.40066674
    7800          56.12571050          17.90110877        -155.28345098        -137.38234221
    7900          54.31070247          17.32221799        -154.69998758        -137.37776960
    8000          53.87261293          17.18249079        -154.66180682        -137.47931604
    8100          55.96853298          17.85097752        -155.28352956        -137.43255205
    8200          53.88501905          17.18644768        -154.59184396        -137.40539628
    8300          48.67980101          15.52626069        -152.95074791        -137.42448722
    8400          51.49297902          16.42351446        -153.89448414        -137.47096968
    8500          46.92982531          14.96811176        -152.39155965        -137.42344789
    8600          50.45123319          16.09125309        -153.36669431        -137.27544122
    8700          57.46913183          18.32958853        -155.60606058        -137.27647205
    8800          53.59857587          17.09508758        -154.49306928        -137.39798171
    8900          51.02298710          16.27361210        -153.66675492        -137.39314282
    9000          56.61035439          18.05568432        -155.37547590        -137.31979158
    9100          56.74049659          18.09719274        -155.42894396        -137.33175122
    9200          56.21042619          17.92812855        -155.33038393        -137.40225538
    9300          51.47024716          16.41626421        -153.72447602        -137.30821181
    9400          48.80332650          15.56565873        -152.86551343        -137.29985470
    9500          57.35864161          18.29434804        -155.64246470        -137.34811666
    9600          54.61839908          17.42035680        -154.74893182        -137.32857502
    9700          54.97513275          17.53413582        -154.96818114        -137.43404532
    9800          54.71281776          17.45047132        -154.90457142        -137.45410010
    9900          51.59494909          16.45603748        -153.77248471        -137.31644723
   10000          50.62450875          16.14651876        -153.62295705        -137.47643830
Simulation Done. Run time:      0.895s

=============================================
Test for MPI
LJMD version 1.0
LJMD version 1.0
LJMD version 1.0
LJMD version 1.0
LJMD version 1.0
problem reading input: No such file or directory
problem reading input: No such file or directory
problem reading input: No such file or directory
problem reading input: No such file or directory
problem reading input: No such file or directory
LJMD version 1.0
--------------------------------------------------------------------------
Primary job  terminated normally, but 1 process returned
a non-zero exit code. Per user-direction, the job has been aborted.
--------------------------------------------------------------------------
LJMD version 1.0
problem reading input: No such file or directory
--------------------------------------------------------------------------
mpirun detected that one or more processes exited with non-zero status, thus causing
the job to be terminated. The first process to do so was:

  Process name: [[25990,1],2]
  Exit code:    1
--------------------------------------------------------------------------
MPI no ready yet
